player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_sac_fly,last_name,first_name
408234,2023,40,334,370,86,62,20,0,4,74,31,20.0,8.4,0.257,0.353,0.322,0.675,34,118,0,0,3,Cabrera, Miguel
443558,2023,42,143,152,35,24,5,1,5,46,6,30.3,3.9,0.245,0.399,0.283,0.682,23,57,0,1,1,Cruz, Nelson
444482,2023,35,394,422,102,69,25,1,7,72,20,17.1,4.7,0.259,0.381,0.294,0.675,55,150,1,4,6,Peralta, David
446334,2023,37,211,237,47,27,9,0,11,73,23,30.8,9.7,0.223,0.422,0.295,0.717,28,89,0,0,3,Longoria, Evan
453568,2023,36,359,413,100,63,24,5,8,55,39,13.3,9.4,0.279,0.44,0.363,0.803,40,158,1,4,4,Blackmon, Charlie
455117,2023,36,362,407,69,42,12,0,15,139,30,34.2,7.4,0.191,0.348,0.258,0.606,36,126,0,0,0,Maldonado, Martín
456781,2023,35,394,450,111,79,26,1,5,100,40,22.2,8.9,0.282,0.391,0.369,0.76,38,154,0,0,1,Solano, Donovan
457705,2023,36,390,473,100,69,19,0,12,100,75,21.1,15.9,0.256,0.397,0.378,0.775,43,155,3,11,4,McCutchen, Andrew
457759,2023,38,558,626,154,100,31,0,23,110,51,17.6,8.1,0.276,0.455,0.345,0.8,96,254,1,4,6,Turner, Justin
458015,2023,39,208,242,42,22,6,0,14,62,27,25.6,11.2,0.202,0.433,0.314,0.747,38,90,0,0,0,Votto, Joey
462101,2023,34,374,406,94,67,20,1,6,71,25,17.5,6.2,0.251,0.358,0.304,0.662,44,134,4,12,2,Andrus, Elvis
467793,2023,37,550,619,132,75,33,1,23,104,65,16.8,10.5,0.24,0.429,0.318,0.747,86,236,0,6,4,Santana, Carlos
474832,2023,35,339,404,86,44,23,0,19,141,61,34.9,15.1,0.254,0.49,0.369,0.859,43,166,0,0,2,Belt, Brandon
493329,2023,39,298,329,73,50,16,3,4,44,26,13.4,7.9,0.245,0.359,0.304,0.663,27,107,0,4,4,Gurriel, Yuli
500743,2023,34,385,423,91,69,16,1,5,48,26,11.3,6.1,0.236,0.322,0.29,0.612,31,124,3,8,5,Rojas, Miguel
500871,2023,34,288,309,65,48,6,5,6,78,18,25.2,5.8,0.226,0.344,0.269,0.613,31,99,1,2,2,Escobar, Eduardo
502054,2023,35,426,481,109,63,27,3,16,106,47,22.0,9.8,0.256,0.446,0.328,0.774,68,190,3,22,6,Pham, Tommy
502110,2023,35,432,479,117,55,27,2,33,149,34,31.1,7.1,0.271,0.572,0.321,0.893,103,247,0,1,9,Martinez, J.D.
502671,2023,35,593,687,159,103,31,0,25,161,87,23.4,12.7,0.268,0.447,0.363,0.81,80,265,2,11,3,Goldschmidt, Paul
514888,2023,33,360,410,112,72,21,2,17,71,44,17.3,10.7,0.311,0.522,0.393,0.915,51,188,2,14,1,Altuve, Jose
516416,2023,33,301,326,66,56,5,2,3,47,22,14.4,6.7,0.219,0.279,0.277,0.556,21,84,2,6,0,Segura, Jean
516782,2023,34,315,341,78,65,7,1,5,69,16,20.2,4.7,0.248,0.324,0.301,0.625,28,102,4,24,0,Marte, Starling
518595,2023,34,267,292,60,36,13,0,11,67,21,22.9,7.2,0.225,0.397,0.288,0.685,39,106,0,0,1,d'Arnaud, Travis
518626,2023,37,165,189,25,7,5,0,13,50,22,26.5,11.6,0.152,0.418,0.249,0.667,26,69,0,0,2,Donaldson, Josh
518692,2023,33,637,730,211,121,59,2,29,121,72,16.6,9.9,0.331,0.567,0.41,0.977,102,361,1,23,5,Freeman, Freddie
518735,2023,34,363,405,85,63,14,0,8,86,36,21.2,8.9,0.234,0.339,0.309,0.648,33,123,0,0,2,Grandal, Yasmani
518792,2023,33,334,377,90,52,23,0,15,64,34,17.0,9.0,0.269,0.473,0.34,0.813,40,158,2,2,3,Heyward, Jason
518934,2023,34,497,562,121,81,22,3,15,125,60,22.2,10.7,0.243,0.39,0.327,0.717,44,194,2,2,2,LeMahieu, DJ
519058,2023,34,352,386,87,60,15,0,12,95,23,24.6,6.0,0.247,0.392,0.293,0.685,48,138,0,0,8,Moustakas, Mike
519203,2023,33,373,421,91,65,14,0,12,97,35,23.0,8.3,0.244,0.378,0.328,0.706,41,141,3,0,1,Rizzo, Anthony
519317,2023,33,371,415,71,34,13,0,24,124,41,29.9,9.9,0.191,0.42,0.275,0.695,60,156,0,0,1,Stanton, Giancarlo
521692,2023,33,538,580,137,93,21,0,23,135,19,23.3,3.3,0.255,0.422,0.292,0.714,80,227,0,0,8,Perez, Salvador
527038,2023,31,405,454,115,70,22,0,23,63,41,13.9,9.0,0.284,0.509,0.355,0.864,60,206,0,0,3,Flores, Wilmer
542194,2023,31,315,332,71,44,16,0,11,91,13,27.4,3.9,0.225,0.381,0.254,0.635,33,120,0,1,3,Bethancourt, Christian
542208,2023,32,168,189,38,28,4,0,6,40,13,21.2,6.9,0.226,0.357,0.293,0.65,20,60,0,0,3,Pérez, Carlos
542303,2023,32,530,592,145,75,29,1,40,134,57,22.6,9.6,0.274,0.558,0.346,0.904,100,296,0,0,2,Ozuna, Marcell
542932,2023,33,388,424,114,88,16,3,7,77,29,18.2,6.8,0.294,0.405,0.344,0.749,33,157,6,16,3,Berti, Jon
