player_id,year,player_age,xba,xslg,woba,avg_swing_speed,fast_swing_rate,swords,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,iz_contact_percent,whiff_percent,swing_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,last_name,first_name
656288,2023,27,0.233,0.422,0.315,71.1,18.7,7.0,91.0,12.8,31.5,9.8,44.2,66.4,17.5,29.0,56.0,82.5,29.1,48.4,60.3,43.0,30.1,20.5,6.5,Canning, Griffin
656945,2024,29,0.2,0.298,0.241,71.9,24.1,11.0,84.3,11.1,30.4,4.7,27.5,70.0,25.1,31.9,50.8,74.9,32.7,51.8,68.7,52.0,18.1,21.6,8.2,Scott, Tanner
682120,2024,27,0.206,0.33,0.236,70.8,15.9,8.0,86.9,7.4,28.3,6.9,36.5,62.7,18.9,31.2,50.3,81.1,29.3,47.0,62.1,51.6,22.6,18.9,6.9,Herrin, Tim
666205,2023,25,0.31,0.548,0.417,71.9,25.9,3.0,92.1,12.8,35.4,10.9,49.6,71.3,13.5,24.1,45.3,86.5,21.2,48.4,53.2,43.4,28.1,23.4,5.1,Muller, Kyle
676974,2025,26,0.263,0.453,0.341,72.7,31.7,10.0,91.9,8.7,30.3,9.2,48.2,64.8,15.7,27.7,58.5,84.3,27.4,47.4,62.8,49.7,24.6,20.5,5.1,Meyer, Max
605280,2025,32,0.245,0.395,0.302,72.1,27.5,22.0,89.7,4.4,30.5,6.8,42.3,61.2,11.8,29.4,42.3,88.2,22.1,44.8,60.3,55.9,18.2,21.6,4.2,Holmes, Clay
686730,2024,26,0.254,0.476,0.379,72.1,27.2,10.0,88.9,17.4,36.2,10.4,38.9,67.2,13.6,26.1,44.4,86.4,21.4,48.0,62.7,35.9,32.6,23.5,8.1,Spiers, Carson
571578,2025,35,0.268,0.439,0.328,72.4,29.9,19.0,89.2,14.4,34.7,8.4,40.4,65.1,15.9,29.6,48.6,84.1,26.9,46.3,65.5,41.0,27.4,25.5,6.1,Corbin, Patrick
668941,2024,27,0.267,0.465,0.305,71.6,22.3,9.0,89.9,7.9,34.5,10.5,39.8,61.8,13.3,26.4,52.4,86.7,25.4,43.7,66.3,49.7,24.0,24.0,2.3,Romero, JoJo
608718,2024,34,0.268,0.423,0.305,71.2,19.9,8.0,86.1,13.8,33.7,7.3,30.2,71.1,12.2,28.9,39.6,87.8,20.2,49.8,63.0,41.5,27.8,23.4,7.3,Suter, Brent
573009,2024,33,0.227,0.384,0.265,71.4,18.9,9.0,88.1,5.4,26.2,7.6,41.9,69.0,19.9,38.5,39.5,80.1,27.5,52.8,63.6,54.1,25.6,18.0,2.3,Mantiply, Joe
621244,2024,30,0.262,0.447,0.308,71.8,24.2,26.0,89.6,13.4,36.3,7.8,41.8,64.5,13.3,29.5,37.8,86.7,21.1,46.7,64.8,43.2,26.0,24.1,6.7,Berríos, José
445276,2024,36,0.207,0.369,0.253,71.1,18.8,8.0,90.4,22.3,36.3,11.1,37.0,67.4,19.9,24.9,53.6,80.1,27.0,49.4,68.1,31.1,36.3,22.2,10.4,Jansen, Kenley
623211,2023,33,0.208,0.331,0.308,72.1,25.2,2.0,85.4,7.9,31.2,7.0,28.0,65.1,21.1,34.0,47.7,78.9,31.7,47.6,62.0,51.6,17.2,23.6,7.6,Brazobán, Huascar
