"last_name, first_name","player_id","year","player_age","avg_swing_speed","fast_swing_rate","avg_swing_length","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_contact_percent","sprint_speed"
"Cabrera, Miguel",408234,2023,40,"68.3",0.7,"7.4",6.4,5.1,50,32.5,"89.1","7.4",34.2,4.2,7.6,19.8,38,2.3,37.6,68.3,18.2,28.2,56.2,"23.1"
"Cruz, Nelson",443558,2023,42,,,,,,,,"92.4","10.2",33.7,9.2,7.1,23.5,30.6,3.1,48,66.1,21.5,39.4,40.9,"24.7"
"Peralta, David",444482,2023,35,"72.1",24.5,"7.3",4.8,-1.2,41.2,31.8,"89.3","8.2",31.1,4.9,7,20.1,36.6,4.6,44.2,74.4,15.1,34.2,61,"27.0"
"Longoria, Evan",446334,2023,37,"72.1",20.2,"7.8",15.6,-5.2,53.2,37.4,"92.2","15.6",37.6,10.6,8.5,27,29.8,2.1,51.8,58,20.9,29.2,56.6,"26.2"
"Blackmon, Charlie",453568,2023,36,"66.9",1.6,"7",8,-3.3,52,31.9,"86.4","18.1",39,4.9,5.2,31.8,28.2,4.2,31.5,65.8,13.3,28.6,65.7,"27.6"
"Maldonado, Martín",455117,2023,36,"71.8",15.6,"7.7",16.7,-4.5,47.4,31.7,"88.4","18.1",32.8,8.5,7.7,27.2,25.5,10.2,40,65.5,23.9,32.8,43.9,"23.2"
"Solano, Donovan",456781,2023,35,"68.2",6.3,"7",8.8,-0.6,33.9,37,"90.2","13.1",43.1,6.1,8.1,22,30.2,1.7,43.7,64.9,16.2,29.9,55,"25.4"
"McCutchen, Andrew",457705,2023,36,"71.8",16.7,"7.4",13.3,-1,57.1,33.4,"89.6","12.3",33.7,6.8,7.8,24.8,30.6,4.1,44.6,64.4,19.9,18.6,46.2,"28.4"
"Turner, Justin",457759,2023,38,"66.4",0.5,"6.5",10.8,-1.7,53.8,35.1,"89.5","16.5",36.8,5.7,9.3,29.7,27.3,2.2,39,63.6,12.2,25.7,68.9,"25.2"
"Votto, Joey",458015,2023,39,"68.8",6.3,"7.3",18,2.5,45.9,40.5,"89.3","13.9",23.3,11,5.5,26,36.3,4.8,39.7,69.8,24.5,25.2,51.3,"25.6"
"Andrus, Elvis",462101,2023,34,"68.4",7.4,"7.7",7,0.8,59.1,29.8,"87.5","5.5",28.1,2.6,4.9,20.9,44.4,3.3,31,61.4,11.9,28.1,61.4,"26.5"
"Santana, Carlos",467793,2023,37,"71.4",14,"7.5",11.2,-4.5,61.6,26.4,"88.8","12.8",31.3,6.7,4.7,28.2,34.7,1.3,36.4,68.2,17.2,24,65.1,"25.9"
"Belt, Brandon",474832,2023,35,"72.7",17,"7",16,6.2,43.4,45.9,"88.7","19.8",44.5,15,6,32.5,15.5,8,40,67,25,17.9,42.7,"26.2"
"Gurriel, Yuli",493329,2023,39,"70.7",7.8,"7.7",2.4,-2.1,32.8,23.7,"88.6","16.5",32.2,1.9,5,32.9,31.8,2.3,34.9,62.9,10.5,30.7,72.7,"27.2"
"Rojas, Miguel",500743,2023,34,"68.8",7.4,"6.9",4.8,-3,44.5,33,"87.3","11",33.4,2.9,4.1,28.8,35.5,4.9,32,67.7,8.5,32.8,68.3,"26.4"
"Escobar, Eduardo",500871,2023,34,"68.3",2.4,"6.8",11.7,-2.7,44.5,31.2,"86.3","14.4",30.5,3.8,5.6,29.6,33.8,2.8,30.6,68.2,22.5,36,62.2,"27.1"
"Pham, Tommy",502054,2023,35,"73.8",42.2,"6.9",6.7,-1,40.8,28.4,"92.3","5.7",34.4,10.7,7.1,16.3,38.7,1.8,49.1,60.6,14,20.6,48.5,"27.8"
"Martinez, J.D.",502110,2023,35,"73",27.9,"8.5",14.3,-1.7,48.6,37.7,"93.4","16.9",41.1,17.1,11.3,21.9,25,2.1,55.1,75.4,23.5,32.1,41.4,"26.1"
"Goldschmidt, Paul",502671,2023,35,"72.1",18.7,"7.5",8.4,6,47.1,32.7,"91.3","12.8",35.6,12,8.5,22.1,28.7,3.7,50.8,61.9,23.2,26.5,62.8,"26.4"
"Altuve, Jose",514888,2023,33,"70.5",16.3,"7.7",16.7,-1.5,46.5,32,"86","11.4",29.7,8.3,6.2,20.7,38.6,8.3,31.4,61.3,12.5,32.1,71.9,"26.9"
"Segura, Jean",516416,2023,33,"70",8.3,"6.6",3.6,4.5,40.5,26.9,"88","2.9",22.4,3.5,5.9,17.6,46.7,4.3,38.8,65.1,12,36.9,68.9,"27.4"
"Marte, Starling",516782,2023,34,"70.6",12.5,"7.5",11.6,-3.7,58.3,38.6,"88.2","6.3",30.6,5.6,5.6,19.4,38.3,5.2,39.5,71.5,17.4,37.4,53.7,"27.1"
"d'Arnaud, Travis",518595,2023,34,"72.2",22.1,"7.7",10.5,2.3,56.1,30.8,"90.7","10.3",37.8,9,10.9,21.9,34.3,2.5,42.8,75.3,23.7,27.1,56.8,"26.1"
"Donaldson, Josh",518626,2023,37,"73.2",34.6,"7.7",15.1,-1.2,64.4,26.8,"92.1","11.7",23.1,16.2,5.1,26.5,35,4.3,51.3,64.3,21.8,26.4,61.9,"24.9"
"Freeman, Freddie",518692,2023,33,"70.5",11.4,"6.7",7.5,2.3,41,43.7,"90","15.2",46.6,11.1,8.8,21.7,25.7,2.7,42.2,76.1,14.3,26.9,63.1,"26.7"
"Grandal, Yasmani",518735,2023,34,"70.7",9.5,"7.5",9.2,1.7,52.7,26.6,"87.9","10.8",32.3,4.7,4.7,28.3,33.3,4.7,34.4,62.1,17.5,27.4,58.2,"22.8"
"Heyward, Jason",518792,2023,33,"73.8",36.8,"8.1",7.7,-6.6,61.3,29.8,"87.7","15.4",33,8.1,6.6,28.6,31.1,3.7,37.4,65.8,14,28.4,63.4,"27.1"
"LeMahieu, DJ",518934,2023,34,"68.3",4.1,"7.3",7.3,6.4,53.9,29.6,"89.6","3.8",31.6,5.9,6.4,15,42,2.1,43,54.4,12.8,23.1,63.2,"25.7"
"Moustakas, Mike",519058,2023,34,"71.5",24.9,"7.3",8.5,-6.9,52.1,26.7,"89","18",28.3,5.7,4.5,35.5,24.2,3.4,37.9,71.5,19.6,33,54.7,"25.2"
"Rizzo, Anthony",519203,2023,33,"68.8",6.1,"6.9",12.6,-7.3,43.9,33.7,"90","17.8",41.2,6.9,6.9,30.7,25.6,1.8,37.5,64.1,15.4,34.1,58.6,"24.7"
"Stanton, Giancarlo",519317,2023,33,"81",96.9,"8.5",8.4,-0.1,57.6,27.7,"93.3","12.5",27.4,15.7,6.5,26.6,32.3,3.6,48.4,60.2,24,27.2,46.6,"24.4"
"Perez, Salvador",521692,2023,33,"72.8",29.3,"7.9",13,-4.7,55.9,34.5,"90.1","15.6",38,8.8,9.7,28.2,23.8,3.4,44,77.5,19.7,47,56.5,"24.3"
